timestamp,date,total,affected,expired,margin_protected,total_discount_value,avg_discount_percent
2026-08-12T08:00:00,2026-08-12,43,16,4,3,774.98,27.9
2026-08-13T08:00:00,2026-08-13,43,17,4,3,834.99,17.8
2026-08-14T08:00:00,2026-08-14,43,18,1,0,613.84,16.4
2026-08-15T08:00:00,2026-08-15,43,17,0,3,627.04,23.9
2026-08-16T08:00:00,2026-08-16,43,18,1,0,899.12,24.3
2026-08-17T08:00:00,2026-08-17,43,9,0,0,290.32,17.9
2026-08-18T00:50:23,2026-08-18,43,15,3,15,446.27,16.9
2026-08-18T00:50:40,2026-08-18,43,15,3,15,446.27,16.9
2026-08-18T00:51:56,2026-08-18,43,15,3,15,446.27,16.9
2026-08-18T00:55:23,2026-08-18,43,15,3,15,446.27,16.9
2026-08-23T14:50:48,2026-08-23,43,14,9,14,360.27,13.8
2026-08-23T15:06:26,2026-08-23,43,14,9,14,360.27,13.8
2026-08-23T15:11:10,2026-08-23,43,14,9,14,360.27,13.8
2026-08-23T15:15:33,2026-08-23,43,14,9,14,360.27,13.8
2026-08-23T15:20:31,2026-08-23,43,14,9,14,360.27,13.8
2026-08-23T15:54:23,2026-08-23,43,14,9,14,360.27,13.8
2026-08-23T15:58:18,2026-08-23,43,14,9,14,360.27,13.8
2026-08-23T16:06:47,2026-08-23,43,14,9,14,360.27,13.8
2026-08-23T16:10:18,2026-08-23,43,14,9,14,360.27,13.8
2026-08-23T16:18:39,2026-08-23,43,14,9,14,360.27,13.8
2026-08-23T16:19:11,2026-08-23,43,14,9,14,360.27,13.8
